Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Growth Habit
ACPE12,,Achnatherum pekinense (Hance) Ohwi,,Graminoid
ACPE13,STPE10,Stipa perplexa (Hoge & Barkworth) Wipff & S.D. Jones,,Graminoid
ACPE13,,Achnatherum perplexum Hoge & Barkworth,New Mexico needlegrass,Graminoid
ACPI2,,Achnatherum pinetorum (M.E. Jones) Barkworth,pine needlegrass,Graminoid
ACPI2,STPI2,Stipa pinetorum M.E. Jones,,Graminoid
ACRI8,STRI2,Stipa richardsonii Link,,Graminoid
ACRI8,,Achnatherum richardsonii (Link) Barkworth,Richardson's needlegrass,Graminoid
ACRO7,STRO3,Stipa robusta (Vasey) Scribn.,,Graminoid
ACRO7,,Achnatherum robustum (Vasey) Barkworth,sleepygrass,Graminoid
ACRO7,STVA4,Stipa vaseyi Scribn.,,Graminoid
ACSC11,,Achnatherum scribneri (Vasey) Barkworth,Scribner needlegrass,Graminoid
ACSC11,STSC2,Stipa scribneri Vasey,,Graminoid
ACSP12,,Achnatherum speciosum (Trin. & Rupr.) Barkworth,desert needlegrass,Graminoid
ACSP12,STSP3,Stipa speciosa Trin. & Rupr.,,Graminoid
ACSP8,,Achnatherum splendens (Trin.) Nevski,,Graminoid
ACSP8,STSP12,Stipa splendens Trin.,,Graminoid
ACST7,,Achnatherum stillmanii (Bol.) Barkworth,Stillman's needlegrass,Graminoid
ACST7,STST2,Stipa stillmanii Bol.,,Graminoid
ACSW3,,Achnatherum swallenii (C.L. Hitchc. & Spellenb.) Barkworth,Swallen's needlegrass,Graminoid
ACSW3,ORSW,Oryzopsis swallenii C.L. Hitchc. & Spellenb.,,Graminoid
ACTH7,,Achnatherum thurberianum (Piper) Barkworth,Thurber's needlegrass,Graminoid
ACTH7,STTH2,Stipa thurberiana Piper,,Graminoid
ACWA,,Achnatherum wallowaense Maze & K.A. Robson,Wallowa needlegrass,Graminoid
ACWA,ACWA4,"Achnatherum wallowaensis Maze & K.A. Robson, orth. var.",,Graminoid
ACWE3,,Achnatherum webberi (Thurb.) Barkworth,Webber needlegrass,Graminoid
ACWE3,STWE,Stipa webberi (Thurb.) B.L. Johnson,,Graminoid
ACWE3,ORWE,Oryzopsis webberi (Thurb.) Benth. ex Vasey,,Graminoid
ACCA32,,×Achnella caduca (Beal) Barkworth [Achnatherum hymenoides × Nassella viridula],Mandan ricegrass,Graminoid
ACCA32,STCA22,Stipa caduca (Beal) Scribn.,,Graminoid
ACCA32,STCA13,×Stiporyzopsis caduca (Beal) B.L. Johnson & Rogler,,Graminoid
ACCA32,ORCA9,Oryzopsis caduca Beal,,Graminoid
ACRA6,ELRA5,Eleusine racemosa Roem. & Schult.,,Graminoid
ACRA6,,Acrachne racemosa (Roem. & Schult.) Ohwi,goosegrass,Graminoid
ACAM8,,Acroceras amplectens Stapf,acroceras,Graminoid
ACMA5,,Acroceras macrum Stapf,Nile grass,Graminoid
ACOR2,,Acroceras oryzoides (Sw.) Stapf [excluded],,Graminoid
AEBI,,Aegilops bicornis (Forssk.) Jaub. & Spach,goatgrass,Graminoid
AECO,,Aegilops comosa Sm.,goatgrass,Graminoid
AECR,,Aegilops crassa Boiss.,Persian goatgrass,Graminoid
AECY,AECYR,Aegilops cylindrica Host var. rubiginosa Popova,,Graminoid
AECY,,Aegilops cylindrica Host,jointed goatgrass,Graminoid
AECY,CYCY5,Cylindropyrum cylindricum (Host) Á. Löve,,Graminoid
AECY,AETA3,Aegilops tauschii auct. non Coss.,,Graminoid
AECY,TRCY3,"Triticum cylindricum (Host) Ces., Pass. & Gibelli",,Graminoid
AEGE,,Aegilops geniculata Roth,ovate goatgrass,Graminoid
AEGE,AEOV2,Aegilops ovata L. p.p.,,Graminoid
AEGE,TROV4,Triticum ovatum (L.) Gren. & Godr. p.p.,,Graminoid
AELO,,Aegilops longissima Schweinf. & Muschl.,goatgrass,Graminoid
AELO2,,Aegilops lorentii Hochst.,Lorent's goatgrass,Graminoid
AELO2,AEBI2,Aegilops biuncialis Vis.,,Graminoid
AENE2,,Aegilops neglecta Req. ex Bertol.,three-awned goatgrass,Graminoid
AESE3,,Aegilops searsii M. Feldman & M. Kislev,Sears' goatgrass,Graminoid
AESP2,,Aegilops speltoides Tausch,goatgrass,Graminoid
AETA2,,Aegilops tauschii Coss.,Tausch's goatgrass,Graminoid
AETA2,AESQ2,Aegilops squarrosa auct.,,Graminoid
AETR,AESQ,Aegilops squarrosa L.,,Graminoid
AETR,,Aegilops triuncialis L.,barbed goatgrass,Graminoid
AETR,TRPE19,Triticum persicum (Boiss.) Aitch. & Hemsl.,,Graminoid
AETR,TRTR5,Triticum triunciale (L.) Raspail,,Graminoid
AEUM,,Aegilops umbellulata Zhuk.,goatgrass,Graminoid
AEVE,,Aegilops ventricosa Tausch,goatgrass,Graminoid
AECE,,Aegopogon cenchroides Humb. & Bonpl.,relaxgrass,Graminoid
AETE,,Aegopogon tenellus (DC.) Trin.,fragilegrass,Graminoid
AETE,AETEA,Aegopogon tenellus (DC.) Trin. var. abortivus (Fourn.) Beetle,,Graminoid
AETE,LATE4,Lamarckia tenella DC.,,Graminoid
AELA2,,Aeluropus lagopoides (L.) Thwaites,mamoncillo,Graminoid
AELA2,AERE2,Aeluropus repens (Desf.) Parl.,,Graminoid
AELI2,,Aeluropus littoralis (Gouan) Parl.,Indian walnut,Graminoid
AGAD4,,×Agroelymus adamsii Rouss. [Agropyron repens × Elymus mollis],agroelymus,Graminoid
AGBO5,,×Agroelymus bowdenii B. Boivin [Agropyron smithii × Elymus innovatus],agroelymus,Graminoid
AGLI,POLI5,Polypogon littoralis Sm.,,Graminoid
AGLI,,×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis],coast agropogon,Graminoid
AGHY2,,Agropyron ×hybrid auct.,'Hycrest',Graminoid
AGCR,,Agropyron cristatum (L.) Gaertn.,crested wheatgrass,Graminoid
AGCRC,,Agropyron cristatum (L.) Gaertn. ssp. cristatum,crested wheatgrass,Graminoid
